,Unnamed: 0,type,text
26,26,ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
27,27,ham,"IÛ÷ll leave around four, ok?"
28,28,ham,Well welp is sort of a semiobscure internet thing
29,29,spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
30,30,ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
31,31,ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
32,32,spam,Adult 18 Content Your video will be with you shortly
33,33,ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear.."""
34,34,spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
35,35,ham,Kallis is ready for bat in 2nd innings
36,36,ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
37,37,spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
38,38,ham,Oh my God. I'm almost home
39,39,ham,Why did I wake up on my own &gt;:(
40,40,ham,Poor girl can't go one day lmao
41,41,ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
42,42,ham,Can... I'm free...
43,43,ham,Msg me when rajini comes.
44,44,ham,"Haha awesome, I might need to take you up on that, what you doin tonight?"
45,45,ham,Are you the cutest girl in the world or what
46,46,ham,"It's that time of the week again, ryan"
47,47,ham,I need details about that online job.
48,48,ham,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
49,49,ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
50,50,ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
51,51,ham,Send me yetty's number pls.
52,52,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
53,53,ham,What time is ur flight tmr?
54,54,ham,Eatin my lunch...
55,55,ham,Horrible bf... I now v hungry...
56,56,ham,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola
57,57,ham,And do you have any one that can teach me how to ship cars.
58,58,ham,Pls she needs to dat slowly or she will vomit more.
59,59,ham,Yup i've finished c Ì_ there...
60,60,ham,Captain vijaykanth is doing comedy in captain tv..he is drunken :)
61,61,ham,"Me, i dont know again oh"
62,62,ham,Ill be at yours in about 3 mins but look out for me
63,63,ham,"Awesome, text me when you're restocked"
64,64,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
65,65,ham,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
66,66,ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
67,67,ham,Anything lor is she coming?
68,68,spam,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
69,69,ham,Lol yeah at this point I guess not
70,70,ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
71,71,ham,Did you stitch his trouser
72,72,ham,Want to send me a virtual hug?... I need one
73,73,ham,My sister going to earn more than me da.
74,74,spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921"
75,75,ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
76,76,ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
77,77,ham,So that takes away some money worries
78,78,ham,We got a divorce. Lol. She.s here
79,79,ham,Quite late lar... Ard 12 anyway i wun b drivin...
80,80,ham,Don know..wait i will check it.
81,81,ham,Hey what are you doing. Y no reply pa..
82,82,spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
83,83,ham,"Yes, my reg is  Ciao!"
84,84,ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.
85,85,ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. ItåÕs the least a unique person like u deserve. Sleep tight or morning
86,86,ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
87,87,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
88,88,ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
89,89,ham,Yes princess! I want to make you happy...
90,90,ham,Okay... I booked all already... Including the one at bugis.
91,91,ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
92,92,ham,I've got it down to a tea. not sure which flavour
93,93,ham,"sorry brah, just finished the last of my exams, what up"
94,94,ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
95,95,ham,Ok. So april. Cant wait
96,96,ham,Will Ì_ b going to esplanade fr home?
97,97,ham,5 nights...We nt staying at port step liao...Too ex
98,98,ham,Where are the garage keys? They aren't on the bookshelf
99,99,ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
100,100,ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
101,101,ham,Sorry for the delay. Yes masters
102,102,ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
103,103,spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
104,104,ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
105,105,ham,"Cool, what time you think you can get here?"
106,106,ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins"
107,107,spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
108,108,ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
109,109,spam,"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
110,110,ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
111,111,ham,Are u awake? Is there snow there?
112,112,ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
113,113,ham,Yes da. Any plm at ur office
114,114,ham,Mom wants to know where you at
115,115,ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy \VALENTINES DAY\"" in advance"""
116,116,ham,Hey now am free you can call me.
117,117,ham,Yunny... I'm goin to be late
118,118,spam,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
119,119,ham,Really do hope the work doesnt get stressful. Have a gr8 day.
120,120,spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
121,121,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
122,122,ham,Id have to check but there's only like 1 bowls worth left
123,123,ham,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
124,124,ham,"K, can I pick up another 8th when you're done?"
125,125,ham,PS U no ur a grown up now right?
126,126,ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
127,127,ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
128,128,ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
129,129,ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \sleep on a couch\"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?"""
130,130,ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
131,131,ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
132,132,spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
133,133,ham,No problem. Talk to you later
134,134,ham,Pls dont forget to study
135,135,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
136,136,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
137,137,ham,How r Ì_ going to send it to me?
138,138,ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
139,139,ham,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.
140,140,spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
141,141,ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
142,142,ham,"I'm outside islands, head towards hard rock and you'll run into me"
143,143,ham,LOL ... No just was busy
144,144,ham,See you there! 
145,145,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
146,146,ham,"Sorry, I'll call later in meeting"
147,147,ham,* Will have two more cartons off u and is very pleased with shelves
148,148,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
149,149,ham, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
150,150,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
151,151,ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
152,152,ham,Hey mate. Spoke to the mag people. WeÛ÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
153,153,ham,I guess it is useless calling u 4 something important.
154,154,ham,Are you going to write ccna exam this week??
155,155,ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
156,156,ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
157,157,spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
158,158,ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
159,159,ham,Oh k:)after that placement there ah?
160,160,spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
161,161,ham,Another month. I need chocolate weed and alcohol.
162,162,spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
163,163,ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
164,164,ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
165,165,ham,Jus finish blowing my hair. U finish dinner already?
166,166,ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
167,167,ham,"aight we can pick some up, you open before tonight?"
168,168,ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
169,169,ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
170,170,ham,ÌÏ only send me the contents page...
171,171,ham,"No, but you told me you were going, before you got drunk!"
172,172,ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
173,173,ham,I want  &lt;#&gt;  rs da:)do you have it?
174,174,ham,All e best 4 ur exam later.
175,175,ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
176,176,ham,Can't take any major roles in community outreach. You rock mel
177,177,ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
178,178,spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
179,179,ham,"Thank you. And by the way, I just lost."
180,180,ham,Jos ask if u wana meet up?
181,181,ham,Oh yah... We never cancel leh... Haha 
182,182,ham,I uploaded mine to Facebook
183,183,ham,No shoot me. I'm in the docs waiting room. :/
184,184,ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
185,185,ham,Anything lar...
186,186,ham,Yup having my lunch buffet now.. U eat already?
187,187,spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
188,188,ham,Its a part of checking IQ
189,189,ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
190,190,ham,Yeah jay's sort of a fucking retard
191,191,ham,Thanx 4 e brownie it's v nice...
192,192,ham,"Get the door, I'm here"
193,193,ham,Then u going ikea str aft dat?
194,194,ham,No da if you run that it activate the full version da.
195,195,ham,No message..no responce..what happend?
196,196,spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
197,197,ham,Yes. Nigh you cant aha.
198,198,ham,You can jot down things you want to remember later.
199,199,ham,I'm still pretty weak today .. Bad day ?
200,200,ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola."
201,201,ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
202,202,ham,"She was supposed to be but couldn't make it, she's still in town though"
203,203,spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+"
204,204,ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
205,205,ham,Do you work all this week ?
206,206,ham,I'm home. Ard wat time will u reach?
207,207,ham,My drive can only be read. I need to write
208,208,ham,In that case I guess I'll see you at campus lodge
209,209,ham,Will you come online today night
210,210,ham,Orh i tot u say she now still dun believe.
211,211,ham,Thanks for ve lovely wisheds. You rock
212,212,ham,I am going to sao mu today. Will be done only at 12 
213,213,ham,No just send to you. Bec you in temple na.
214,214,ham,Gud mrng dear have a nice day
215,215,ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
216,216,ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
217,217,ham,I finished my lunch already. U wake up already?
218,218,ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
219,219,ham,No dear i do have free messages without any recharge. Hi hi hi
220,220,ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
221,221,ham,Call him and say you not coming today ok and tell them not to fool me like this ok
222,222,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
223,223,ham,Aight do you still want to get money
224,224,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
225,225,ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
226,226,ham,Ho ho - big belly laugh! See ya tomo
227,227,ham,Good Morning plz call me sir
228,228,ham,Cuz ibored. And don wanna study
229,229,spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
230,230,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
231,231,ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
232,232,ham,Booked ticket for pongal?
233,233,ham,Ok I'm gonna head up to usf in like fifteen minutes
234,234,ham,ÌÏ called dad oredi...
235,235,ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
236,236,ham,Good night my dear.. Sleepwell&amp;Take care
237,237,ham,Dun need to use dial up juz open da browser n surf...
238,238,spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk"
239,239,ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
240,240,ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die
241,241,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
242,242,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
243,243,spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week
244,244,ham,I'm stuck in da middle of da row on da right hand side of da lt... 
245,245,ham,Okie... Thanx...
246,246,spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
247,247,ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
248,248,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
249,249,spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
250,250,ham,Yes princess! I want to catch you with my big strong hands...
251,251,ham,Nt joking seriously i told
252,252,ham,Convey my regards to him
253,253,ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free
254,254,ham,"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Yaxxx"
255,255,spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
256,256,ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
257,257,spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply."
258,258,ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
259,259,ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
260,260,ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
261,261,spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
262,262,ham,Onum ela pa. Normal than.
263,263,ham,K:)k:)good:)study well.
264,264,ham,Whatsup there. Dont u want to sleep
265,265,ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
266,266,ham,Okie...
267,267,ham,All e best 4 ur driving tmr :-)
268,268,ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
269,269,ham,ÌÏ collecting ur laptop then going to configure da settings izzit?
270,270,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
271,271,ham,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\"""""
272,272,ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
273,273,ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
274,274,ham,Wait 2 min..stand at bus stop
275,275,ham,Okie
276,276,ham,2 laptop... I noe infra but too slow lar... I wan fast one
277,277,ham,Sorry. || mail? || 
278,278,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
279,279,ham,Id onluy matters when getting on from offcampus
280,280,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
281,281,ham,Hope youåÕre not having too much fun without me!! see u tomorrow love jess x
282,282,ham,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"""
283,283,ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
284,284,ham,I've sent Ì_ my part..
285,285,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
286,286,ham,Lara said she can loan me  &lt;#&gt; .
287,287,ham,Not to worry. I'm sure you'll get it.
288,288,ham,Nope i'm not drivin... I neva develop da photos lei...
289,289,ham,No da. . Vijay going to talk in jaya tv
290,290,ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
291,291,spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
292,292,ham,Oh ok i didnt know what you meant. Yep i am baby jontin
293,293,ham,K...k:)why cant you come here and search job:)
294,294,ham,Try neva mate!!
295,295,ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
296,296,ham,I want to go to perumbavoor
297,297,ham,Stupid auto correct on my phone
298,298,ham,Love it! I want to flood that pretty pussy with cum...
299,299,ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
300,300,ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
301,301,spam,Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
302,302,ham,"Dear, take care. I am just reaching home.love u a lot."
303,303,ham,I'm at home n ready...
304,304,ham,Did u see what I posted on your Facebook?
305,305,ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
306,306,ham,Fuck cedar key and fuck her (come over anyway tho)
307,307,spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !"
308,308,ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
309,309,ham,Merry christmas to u too annie!
310,310,spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
311,311,ham,"I'm in a meeting, call me later at"
312,312,ham,I surely dont forgot to come:)i will always be in touch in with you:-)
313,313,ham,Hey you around? I've got enough for a half + the ten I owe you
314,314,ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
